
*********************************************************************

   Se leyeron los datos del archivo: ENTRADA.TXT
   Se graba la salida en el archivo: SALIDA.TXT

*********************************************************************

*****************************************************
*CASODEPRUEBAPARAELCAREMCONXENONYQUEMADO*
*****************************************************

Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
 96  2.0685E-06    5.3773E-08      0.989860    0.87076      1.000
 97  1.7946E-06    4.3015E-08      0.989860    0.86759      1.000
 98  1.5620E-06    4.1813E-08      0.989860    0.87039      1.000
 99  1.3530E-06    3.7529E-08      0.989860    0.86618      1.000
100  1.1758E-06    2.8680E-08      0.989860    0.86902      1.000
101  1.0165E-06    2.6427E-08      0.989860    0.86458      1.000
102  8.7867E-07    2.5862E-08      0.989860    0.86437      1.000
103  7.6019E-07    2.0056E-08      0.989861    0.86517      1.000
104  6.5913E-07    1.6302E-08      0.989861    0.86705      1.000
105  5.6758E-07    1.6567E-08      0.989861    0.86112      1.000
106  4.8913E-07    1.3921E-08      0.989861    0.86178      1.000
107  4.2134E-07    1.0199E-08      0.989861    0.86141      1.000
108  3.6404E-07    9.9932E-09      0.989861    0.86400      1.000
109  3.1345E-07    9.5388E-09      0.989861    0.86103      1.000
110  2.6857E-07    6.8999E-09      0.989861    0.85684      1.000
111  2.3316E-07    5.8496E-09      0.989861    0.86813      1.000
112  1.9978E-07    6.0867E-09      0.989861    0.85686      1.000
113  1.7180E-07    4.7922E-09      0.989861    0.85996      1.000
114  1.4794E-07    3.4850E-09      0.989861    0.86112      1.000
115  1.2873E-07    3.5885E-09      0.989861    0.87014      1.000
116  1.1051E-07    3.2804E-09      0.989861    0.85843      1.000
117  9.5992E-08    2.2736E-09      0.989861    0.86864      1.000
118  8.4143E-08    2.0105E-09      0.989861    0.87656      1.000
119  7.3244E-08    2.0753E-09      0.989861    0.87047      1.000
120  6.4674E-08    1.5622E-09      0.989861    0.88299      1.000
121  5.7477E-08    1.1314E-09      0.989861    0.88872      1.000
122  5.1410E-08    1.1856E-09      0.989861    0.89446      1.000
123  4.5726E-08    1.0579E-09      0.989861    0.88942      1.000
124  4.1031E-08    6.9872E-10      0.989861    0.89734      1.000
125  3.7480E-08    6.2613E-10      0.989861    0.91345      1.000
126  3.3739E-08    6.5642E-10      0.989861    0.90019      1.000
127  3.0678E-08    4.6517E-10      0.989861    0.90927      1.000
128  2.8200E-08    3.2385E-10      0.989861    0.91924      1.000
129  2.5964E-08    3.5813E-10      0.989861    0.92071      1.000
130  2.3785E-08    3.0574E-10      0.989861    0.91605      1.000
131  2.2028E-08    1.8197E-10      0.989861    0.92616      1.000
132  2.0561E-08    1.7196E-10      0.989861    0.93341      1.000
133  1.9075E-08    1.8108E-10      0.989861    0.92768      1.000
134  1.7732E-08    1.1245E-10      0.989861    0.92959      1.000
135  1.6619E-08    7.5282E-11      0.989861    0.93726      1.000
136  1.5633E-08    8.9981E-11      0.989861    0.94068      1.000
137  1.4621E-08    6.8453E-11      0.989861    0.93529      1.000
138  1.3708E-08    3.3083E-11      0.989861    0.93754      1.000
139  1.2922E-08    3.4754E-11      0.989861    0.94263      1.000
140  1.2206E-08    3.5289E-11      0.989861    0.94463      1.000
141  1.1482E-08    1.5218E-11      0.989861    0.94069      1.000
142  1.0803E-08    7.8242E-12      0.989861    0.94082      1.000
143  1.0225E-08    1.1965E-11      0.989861    0.94649      1.000
144  9.6741E-09    5.4838E-12      0.989861    0.94615      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.9150
Num Iteraciones: 144



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  9.1175E-09    2.3693E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0070
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  8.6057E-09    1.1355E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0060
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  8.1577E-09    1.1801E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0080
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  7.7159E-09    5.3935E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0080
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  7.2812E-09    6.4248E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0080
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  6.8906E-09    5.2787E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0080
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  6.5298E-09    6.1666E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0060
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  6.1713E-09    7.3663E-12      0.989861    0.00000      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.0050
Num Iteraciones: 1



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 1.967
Pot Esp Máxima: 0.230   en el canal:  26  trozo:   3
     KE (estático) = 0.98986
  React (estática) = -1024.3 PCM


Potencias     Distribución espacial   T = 0.0000

      COL 1      COL 2      COL 3      COL 4      COL 5      COL 6      COL 7      COL 8   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.7046E-02  4.8932E-02  4.8996E-02  5.3066E-02  6.6934E-02  5.3153E-02  5.0026E-02  7.8606E-02
  5.1126E-02  6.6729E-02  6.6795E-02  7.1878E-02  9.0632E-02  7.1955E-02  6.7660E-02  1.0775E-01
  5.8489E-02  7.5409E-02  7.5436E-02  8.0014E-02  9.8979E-02  8.0039E-02  7.5247E-02  1.0656E-01
  6.1385E-02  7.9315E-02  7.9338E-02  8.3975E-02  1.0616E-01  8.3996E-02  7.8745E-02  1.1314E-01
  6.7552E-02  8.8452E-02  8.8468E-02  9.3720E-02  1.2149E-01  9.3735E-02  8.8111E-02  1.3254E-01
  6.9288E-02  9.2253E-02  9.2263E-02  9.8125E-02  1.2852E-01  9.8134E-02  9.2838E-02  1.4522E-01
  6.9373E-02  9.4212E-02  9.4217E-02  1.0060E-01  1.3250E-01  1.0061E-01  9.6088E-02  1.5606E-01
  6.8302E-02  9.4619E-02  9.4622E-02  1.0136E-01  1.3316E-01  1.0136E-01  9.7883E-02  1.6392E-01
  6.4783E-02  9.1150E-02  9.1152E-02  9.8007E-02  1.2790E-01  9.8008E-02  9.5507E-02  1.6134E-01
  6.6185E-02  9.5010E-02  9.5010E-02  1.0171E-01  1.3274E-01  1.0171E-01  1.0052E-01  1.7565E-01
  6.4749E-02  9.4229E-02  9.4229E-02  1.0042E-01  1.3086E-01  1.0042E-01  1.0012E-01  1.7751E-01
  6.1471E-02  9.0278E-02  9.0278E-02  9.6042E-02  1.2566E-01  9.6042E-02  9.5902E-02  1.7109E-01
  5.4422E-02  8.0378E-02  8.0378E-02  8.6129E-02  1.1370E-01  8.6129E-02  8.5415E-02  1.5195E-01
  4.1150E-02  6.1708E-02  6.1708E-02  6.7978E-02  9.1386E-02  6.7978E-02  6.6458E-02  1.3519E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 9      COL 10      COL 11      COL 12      COL 13      COL 14      COL 15      COL 16   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.8625E-02  5.0407E-02  3.8340E-02  7.9398E-02  7.9195E-02  7.9432E-02  3.8339E-02  7.2759E-02
  1.0776E-01  6.7899E-02  5.2278E-02  1.0849E-01  1.0785E-01  1.0851E-01  5.2276E-02  9.9517E-02
  1.0656E-01  7.5295E-02  5.8408E-02  1.0645E-01  1.0639E-01  1.0646E-01  5.8405E-02  9.8024E-02
  1.1315E-01  7.8771E-02  6.0919E-02  1.1284E-01  1.1375E-01  1.1284E-01  6.0918E-02  1.0356E-01
  1.3255E-01  8.8128E-02  6.7442E-02  1.3246E-01  1.3431E-01  1.3246E-01  6.7440E-02  1.2090E-01
  1.4523E-01  9.2847E-02  7.0268E-02  1.4592E-01  1.4885E-01  1.4592E-01  7.0266E-02  1.3235E-01
  1.5606E-01  9.6093E-02  7.1827E-02  1.5787E-01  1.6223E-01  1.5787E-01  7.1826E-02  1.4236E-01
  1.6392E-01  9.7885E-02  7.2244E-02  1.6707E-01  1.7338E-01  1.6707E-01  7.2243E-02  1.4973E-01
  1.6134E-01  9.5508E-02  6.9759E-02  1.6555E-01  1.7398E-01  1.6555E-01  6.9758E-02  1.4759E-01
  1.7565E-01  1.0052E-01  7.2265E-02  1.8090E-01  1.9282E-01  1.8090E-01  7.2265E-02  1.6025E-01
  1.7751E-01  1.0012E-01  7.1018E-02  1.8296E-01  1.9973E-01  1.8295E-01  7.1018E-02  1.6080E-01
  1.7109E-01  9.5901E-02  6.7350E-02  1.7584E-01  2.0159E-01  1.7584E-01  6.7350E-02  1.5314E-01
  1.5195E-01  8.5415E-02  5.9604E-02  1.5589E-01  1.8665E-01  1.5589E-01  5.9604E-02  1.3446E-01
  1.3519E-01  6.6458E-02  4.5906E-02  1.3975E-01  1.6998E-01  1.3975E-01  4.5906E-02  1.1899E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 17      COL 18      COL 19      COL 20      COL 21      COL 22      COL 23      COL 24   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.1040E-02  8.1043E-02  7.2757E-02  5.0410E-02  8.1558E-02  4.3451E-02  8.1555E-02  5.0024E-02
  1.0997E-01  1.0997E-01  9.9513E-02  6.7902E-02  1.1100E-01  5.7016E-02  1.1099E-01  6.7657E-02
  1.0768E-01  1.0768E-01  9.8017E-02  7.5298E-02  1.0825E-01  6.1273E-02  1.0824E-01  7.5243E-02
  1.1488E-01  1.1488E-01  1.0356E-01  7.8773E-02  1.1616E-01  6.3867E-02  1.1616E-01  7.8742E-02
  1.3593E-01  1.3593E-01  1.2090E-01  8.8131E-02  1.3842E-01  7.2299E-02  1.3842E-01  8.8109E-02
  1.5152E-01  1.5152E-01  1.3235E-01  9.2849E-02  1.5531E-01  7.8147E-02  1.5531E-01  9.2836E-02
  1.6649E-01  1.6649E-01  1.4236E-01  9.6094E-02  1.7140E-01  8.4453E-02  1.7140E-01  9.6086E-02
  1.7974E-01  1.7974E-01  1.4973E-01  9.7886E-02  1.8528E-01  9.2869E-02  1.8527E-01  9.7882E-02
  1.8212E-01  1.8212E-01  1.4759E-01  9.5509E-02  1.8804E-01  9.5839E-02  1.8803E-01  9.5506E-02
  2.0350E-01  2.0350E-01  1.6024E-01  1.0052E-01  2.0953E-01  1.0677E-01  2.0953E-01  1.0052E-01
  2.1238E-01  2.1238E-01  1.6079E-01  1.0012E-01  2.1632E-01  1.1719E-01  2.1632E-01  1.0012E-01
  2.1556E-01  2.1556E-01  1.5314E-01  9.5902E-02  2.1274E-01  1.7811E-01  2.1274E-01  9.5901E-02
  2.0063E-01  2.0063E-01  1.3446E-01  8.5416E-02  1.9273E-01  2.1294E-01  1.9273E-01  8.5415E-02
  1.8458E-01  1.8458E-01  1.1899E-01  6.6458E-02  1.7711E-01  1.8002E-01  1.7711E-01  6.6458E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 25      COL 26      COL 27      COL 28      COL 29      COL 30      COL 31      COL 32   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.9439E-02  7.2259E-02  7.2257E-02  7.9396E-02  5.3155E-02  8.1045E-02  3.4319E-02  8.1037E-02
  1.0852E-01  9.7328E-02  9.7326E-02  1.0848E-01  7.1957E-02  1.0998E-01  4.6432E-02  1.0997E-01
  1.0646E-01  9.5842E-02  9.5839E-02  1.0645E-01  8.0041E-02  1.0768E-01  5.2593E-02  1.0768E-01
  1.1285E-01  1.0205E-01  1.0205E-01  1.1284E-01  8.3997E-02  1.1488E-01  5.5070E-02  1.1488E-01
  1.3247E-01  1.2062E-01  1.2062E-01  1.3246E-01  9.3737E-02  1.3593E-01  6.4518E-02  1.3592E-01
  1.4592E-01  1.3507E-01  1.3506E-01  1.4591E-01  9.8134E-02  1.5152E-01  7.1842E-02  1.5152E-01
  1.5788E-01  1.5084E-01  1.5084E-01  1.5787E-01  1.0061E-01  1.6649E-01  8.3065E-02  1.6649E-01
  1.6707E-01  1.6974E-01  1.6974E-01  1.6707E-01  1.0137E-01  1.7974E-01  1.4076E-01  1.7974E-01
  1.6555E-01  1.7616E-01  1.7616E-01  1.6555E-01  9.8008E-02  1.8212E-01  1.5014E-01  1.8212E-01
  1.8090E-01  2.0101E-01  2.0101E-01  1.8089E-01  1.0171E-01  2.0350E-01  1.7483E-01  2.0350E-01
  1.8296E-01  2.1594E-01  2.1594E-01  1.8295E-01  1.0042E-01  2.1238E-01  1.9217E-01  2.1238E-01
  1.7584E-01  2.3029E-01  2.3029E-01  1.7584E-01  9.6042E-02  2.1556E-01  2.1357E-01  2.1556E-01
  1.5589E-01  2.2219E-01  2.2219E-01  1.5589E-01  8.6129E-02  2.0063E-01  2.1060E-01  2.0063E-01
  1.3975E-01  2.0413E-01  2.0413E-01  1.3975E-01  6.7978E-02  1.8458E-01  1.6504E-01  1.8458E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 33      COL 34      COL 35      COL 36      COL 37      COL 38      COL 39      COL 40   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.3064E-02  7.8626E-02  4.3451E-02  4.3450E-02  7.8603E-02  4.8997E-02  7.9194E-02  7.2257E-02
  7.1876E-02  1.0776E-01  5.7016E-02  5.7015E-02  1.0774E-01  6.6795E-02  1.0785E-01  9.7326E-02
  8.0010E-02  1.0657E-01  6.1273E-02  6.1272E-02  1.0655E-01  7.5437E-02  1.0639E-01  9.5839E-02
  8.3972E-02  1.1315E-01  6.3867E-02  6.3866E-02  1.1314E-01  7.9339E-02  1.1375E-01  1.0205E-01
  9.3718E-02  1.3255E-01  7.2299E-02  7.2298E-02  1.3254E-01  8.8468E-02  1.3431E-01  1.2062E-01
  9.8123E-02  1.4523E-01  7.8147E-02  7.8146E-02  1.4522E-01  9.2263E-02  1.4885E-01  1.3506E-01
  1.0060E-01  1.5606E-01  8.4452E-02  8.4452E-02  1.5605E-01  9.4217E-02  1.6223E-01  1.5084E-01
  1.0136E-01  1.6392E-01  9.2868E-02  9.2868E-02  1.6391E-01  9.4622E-02  1.7338E-01  1.6974E-01
  9.8006E-02  1.6134E-01  9.5839E-02  9.5839E-02  1.6134E-01  9.1151E-02  1.7398E-01  1.7616E-01
  1.0171E-01  1.7565E-01  1.0677E-01  1.0677E-01  1.7565E-01  9.5010E-02  1.9282E-01  2.0101E-01
  1.0042E-01  1.7751E-01  1.1719E-01  1.1719E-01  1.7751E-01  9.4229E-02  1.9973E-01  2.1594E-01
  9.6041E-02  1.7109E-01  1.7811E-01  1.7811E-01  1.7108E-01  9.0278E-02  2.0158E-01  2.3029E-01
  8.6128E-02  1.5195E-01  2.1294E-01  2.1294E-01  1.5195E-01  8.0378E-02  1.8665E-01  2.2219E-01
  6.7978E-02  1.3519E-01  1.8002E-01  1.8002E-01  1.3519E-01  6.1708E-02  1.6998E-01  2.0413E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 41      COL 42      COL 43      COL 44      COL 45      COL 46      COL 47      COL 48   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.9192E-02  4.8930E-02  6.6934E-02  8.1038E-02  8.1040E-02  6.6932E-02  3.7046E-02  7.8604E-02
  1.0785E-01  6.6727E-02  9.0631E-02  1.0997E-01  1.0997E-01  9.0627E-02  5.1126E-02  1.0774E-01
